Id,SalePrice
1461,111582.79036660194
1462,154093.74710722023
1463,163489.6548727737
1464,178995.59406892225
1465,212661.2553882212
1466,178094.70255879976
1467,161179.6591040308
1468,168864.52289069394
1469,186451.38142468475
1470,120665.1424639088
1471,196141.55258906132
1472,97644.60489490148
1473,93434.2106787427
1474,159238.5572520283
1475,157284.99123655364
1476,430731.7484140877
1477,272107.1245446932
1478,318010.61015832884
1479,285530.8120157064
1480,459050.9502464819
1481,330593.3623842892
1482,220909.1423791687
1483,175403.27749474696
1484,181254.61917200856
1485,170691.3087526071
1486,196304.0178104785
1487,365844.55547084706
1488,257853.56300826516
1489,209379.1129711822
1490,188260.89966606305
1491,191078.47205566854
1492,107427.93633701334
1493,176686.83414667987
1494,302320.8757563643
1495,291418.7175858599
1496,205002.49570448458
1497,192050.5994290541
1498,162769.2421197871
1499,162901.44662050094
1500,145975.9414294709
1501,174857.0467077058
1502,158716.2105995243
1503,288275.3318938369
1504,225135.39242864985
1505,215951.40951851255
1506,194321.72807709972
1507,237417.00810724308
1508,189566.5082819145
1509,160478.8406045523
1510,147668.56595147203
1511,147668.56595147203
1512,177065.66985511014
1513,158740.07670910368
1514,154607.77243525206
1515,206774.2459122079
1516,160606.28208898308
1517,151164.51477905485
1518,146464.7810308416
1519,216126.3954077403
1520,137733.87402847735
1521,140919.8730573138
1522,167710.10643262765
1523,122564.33207444403
1524,123260.49878598441
1525,123358.33929742649
1526,122158.12065351462
1527,111811.06960019098
1528,135819.68353704704
1529,147347.05211888812
1530,177457.80269117517
1531,95012.16188657538
1532,87098.8208406055
1533,165955.79245827947
1534,124979.00610306504
1535,149406.13603832424
1536,108247.70247472411
1537,75002.1709532718
1538,175776.75447307588
1539,209894.02288077015
1540,93257.12732230805
1541,144540.06198794956
1542,135679.47165257204
1543,233753.86597698688
1544,83898.55160921365
1545,96575.8270356018
1546,114322.4858850368
1547,117888.45419532117
1548,123195.99724695104
1549,105864.95058598703
1550,128577.47517275868
1551,123552.11526561444
1552,129025.95858284741
1553,130084.43789333833
1554,117127.82837572637
1555,156431.9548028174
1556,114493.86830509921
1557,128135.10800568949
1558,98704.01534982478
1559,89790.7244633768
1560,130091.06151925164
1561,137609.43523639915
1562,134921.30164369204
1563,123205.58567819804
1564,147804.70993956696
1565,147941.5813544727
1566,201887.5631792691
1567,94093.75247837893
1568,218111.6284716092
1569,130366.87346027141
1570,124522.00591724482
1571,132351.52398246978
1572,144813.35487009567
1573,235978.49506220446
1574,150196.34859036843
1575,208565.58701415363
1576,194910.31510441148
1577,203879.9596507092
1578,140450.965654925
1579,143068.43378594707
1580,192534.01543504657
1581,137497.88396686577
1582,130205.69297604934
1583,339774.9503409373
1584,241955.8794291718
1585,141323.80989097094
1586,75629.78270986887
1587,96023.43289746245
1588,142265.8333531552
1589,102712.86374103435
1590,138462.07082412456
1591,104670.59799078581
1592,137757.20757096188
1593,123787.9846213277
1594,109647.84225450181
1595,123976.76790716726
1596,240511.36608995113
1597,176552.99241866093
1598,181783.8844161078
1599,205508.53260210325
1600,219388.32759687924
1601,57418.83246160639
1602,102742.72098763329
1603,78565.77667419617
1604,269218.42475358536
1605,247353.81766394692
1606,162508.69734868174
1607,180070.7846317945
1608,221021.98177322894
1609,205919.8309240151
1610,152024.85055093525
1611,146268.24233551888
1612,182414.5900466545
1613,160224.430757861
1614,115213.98542068286
1615,78926.3472458561
1616,77691.29716755766
